c1_bits	c_1_measured	v_bits	v_measured
0.0	0.02	290.8499	119.3
5.4002	.10	290.64285	119.4
35.02145	0.33	289.9071	119.1
44.1573	0.41	289.7998	119.1
76.61405	0.66	293.84275	120.4
85.0572	0.74	292.4501	120.1
98.857	0.84	292.52135	120.1
107.26455	0.91	291.27875	119.5
141.13585	1.17	290.45015	119.3
149.32175	1.25	289.99995	119.2
180.6854	1.50	287.7141	118.5
189.7141	1.58	289.2358	119.1
203.17875	1.68	289.50715	118.9
211.0429	1.74	289.0429	118.5
243.91445	2.01	286.3856	118.0
243.7426	2.01	286.2931	117.9
251.4786	2.07	285.4499	117.7
252.40725	2.07	286.84985	117.6
284.79985	2.33	286.17155	117.4
285.6141	2.34	287.3574	118.0
291.47865	2.40	284.15	117.0
291.9643	2.39	285.19995	117.3
292.4502	2.40	286.2073	117.9
300.37165	2.47	281.7784	116.2
302.09295	2.46	284.67845	117.1
302.54275	2.47	285.2574	117.0
307.1716	2.53	280.40015	115.5
310.5357	2.54	285.28595	117.3
343.42155	2.81	283.34305	116.5
352.3144	2.87	284.0858	116.7
383.7427	3.13	283.6712	116.6
391.84985	3.19	283.9214	116.3
390.9571	3.20	283.2288	116.4
403.59275	3.29	285.19295	117.3
410.57845	3.35	284.6926	117.2
443.8142	3.62	283.5784	116.3
443.0715	3.62	283.20735	116.7
452.37165	3.68	283.69255	116.5
489.5214	3.99	281.3431	115.7
500.99285	4.08	282.6641	116.1
506.95	4.13	280.9285	115.7
540.8713	4.40	280.15015	115.4
542.0	4.40	280.8427	115.4
547.857	4.46	279.9857	115.4
580.8286	4.71	280.25005	115.1
587.6784	4.77	279.8141	115.1
596.24285	4.85	278.51435	114.8
604.7856	4.91	279.30015	115.1
636.40715	5.17	277.1215	114.2
649.4071	5.25	280.5287	115.1
648.75705	5.26	280.20735	115.1
678.9786	5.52	279.0572	115.0
686.59295	5.57	278.9285	114.8
695.37155	5.65	278.13585	114.6
701.3358	5.70	277.0572	114.2
700.9142	5.69	277.09295	114.2
728.67845	5.91	272.54985	112.2
736.62135	5.96	272.8356	112.1
767.73555	6.22	272.25735	111.8
772.7571	6.27	271.38595	111.7
786.2859	6.38	270.87845	111.6
794.107	6.43	271.20735	111.5
825.5858	6.68	269.0	110.8
833.1215	6.74	269.64265	110.7
861.7072	7.00	268.22155	110.6
863.4714	6.99	268.36435	110.6
869.5928	7.05	268.4929	110.8
884.17165	7.16	269.2788	110.9
880.96415	7.15	268.2145	110.6
887.18585	7.18	267.57855	110.0
929.27865	7.52	272.6641	111.9
934.69995	7.58	272.2502	112.1
964.35005	7.83	271.3359	111.9
973.64995	7.88	271.94995	111.8
981.37135	7.98	272.0858	112.0
988.22135	8.02	271.20015	111.5
1013.7642	8.27	269.29305	111.0
1020.3857	8.32	270.17875	110.9
1019.6286	8.33	269.7641	111.1
1018.2143	8.32	268.9142	110.6
1015.4643	8.26	270.1144	111.0
984.8214	8.02	270.40725	111.1
981.1928	7.96	271.4431	111.4
966.82135	7.85	271.41425	111.6
958.27855	7.80	270.36435	111.4
927.89295	7.54	270.77845	111.5
926.5143	7.49	272.67855	112.1
890.9571	7.24	272.17875	112.1
884.94285	7.18	272.90705	112.4
872.75695	7.07	273.1645	112.1
866.5499	7.02	274.0429	112.4
835.7142	6.77	274.47145	112.9
825.26425	6.71	273.0143	112.5
792.9071	6.45	274.36455	113.0
771.14995	6.25	275.96425	113.5
739.89285	6.01	276.8642	113.9
733.3287	5.95	277.56415	114.0
699.05	5.68	277.1001	114.0
692.5357	5.62	278.14295	114.0
692.3786	5.62	277.8213	114.3
681.143	5.54	277.6284	114.2
674.5928	5.48	277.65715	114.1
643.28565	5.23	278.89995	114.4
634.77125	5.17	278.3573	114.5
601.42145	4.89	278.60695	114.6
595.7285	4.84	280.3358	115.1
594.77845	4.84	279.7498	115.2
589.25	4.78	280.6214	115.3
586.8213	4.78	279.31435	115.0
582.27165	4.72	281.7784	115.4
547.36435	4.47	279.97855	115.2
543.03575	4.41	281.9428	115.8
507.45715	4.14	281.61415	115.9
502.04995	4.08	283.6714	116.3
491.1001	4.00	283.35015	116.6
484.4429	3.94	283.8999	116.5
450.6928	3.67	283.0715	116.1
450.22855	3.68	283.22875	116.4
442.45	3.61	282.6928	116.2
410.00715	3.34	285.06435	116.8
402.14295	3.28	284.25015	116.7
391.54995	3.19	284.46435	116.5
383.19295	3.13	283.87845	116.7
351.92135	2.88	285.343	117.3
345.3144	2.82	287.15015	117.6
310.3643	2.54	286.49985	117.8
303.1716	2.48	287.19295	117.8
290.1573	2.38	287.9571	118.0
281.84985	2.32	287.2858	118.1
282.0429	2.31	287.92855	118.3
249.98565	2.06	288.9214	118.8
241.64265	1.99	289.25025	118.9
208.21445	1.72	290.82145	119.1
199.02145	1.65	289.12845	118.8
185.63555	1.54	290.3857	119.3
177.25025	1.47	290.243	119.1
145.17155	1.21	291.4644	119.7
137.0	1.14	291.78565	119.7
102.87845	0.87	291.7714	119.7
94.3074	0.80	291.68545	119.7
84.72835	0.73	292.42155	120.0
76.2574	0.66	293.08575	120.3
44.3716	0.41	292.9857	120.4
35.1716	0.33	295.0858	120.7
6.0	0.10	295.55715	121.4
0.0	.01	297.0858	122.0
