v_bits	c_bits	v_measured	c_measured
286.0	151.00715	10.79	3.57
402.0	211.0	15.12	4.96
525.0	275.0	19.69	6.44
618.0	323.5714	23.15	7.57
668.0572	349.9857	25.02	8.17
621.97855	325.95709999999997	23.29	7.61
556.0429	291.8356	20.87	6.82
522.2287	274.0	19.61	6.41
262.00715	97.02145	9.855	2.32
399.0	146.30020000000002	14.93	3.46
556.0	203.0	20.73	4.78
668.00715	243.87130000000002	24.87	5.72
806.0	293.9714	29.96	6.885
728.0	265.30725	27.06	6.22
612.1859000000001	223.68554999999998	22.79	5.25
512.0	187.0286	19.08	4.41
455.0	166.58559999999997	16.96	3.92
375.86415	138.0	14.02	3.26
304.7284	112.32160000000002	11.41	2.67
611.4928	223.0429	22.79	5.24
742.02145	270.55005	27.59	6.34
701.2645	255.7642	26.09	6
268.0143	82.00715	10.00	1.97
395.0	119.72834999999998	14.67	2.84
546.0	164.83554999999998	20.4	3.885
693.0286	208.74984999999998	25.64	4.91
811.0	244.0	29.98	5.73
733.0	220.77839999999998	27.11	5.18
592.0	178.45005	21.93	4.2
565.0	170.53564999999998	20.94	4.02
513.0	154.9714	19.01	3.65
615.0	185.15015	22.77	4.36
654.5498	197.0	24.21	4.64
748.0	225.00715	27.66	5.29
704.0	211.9714	26.03	4.98
661.0	199.0	24.46	4.68
487.0	147.05720000000002	18.07	3.47
444.0	134.33595000000005	16.48	3.17
340.99285	103.70704999999998	12.67	2.46
382.0	115.97139999999999	14.2	2.75
632.0	190.23590000000002	23.39	4.48
753.0	226.62124999999997	27.84	5.32
270.0	42.0	10.01	1.03
398.15015000000005	60.87844999999999	14.71	1.47
539.0	81.87129999999999	19.87	1.96
678.29305	102.84994999999999	24.97	2.44
813.6855499999999	123.0429	29.92	2.92
719.09295	108.97855	26.45	2.58
635.1573000000001	96.0143	23.39	2.29
560.0	84.9857	20.65	2.03
685.0	103.79979999999996	25.2	2.47
732.8999	110.92134999999999	26.94	2.63
686.0	103.79264999999998	25.24	2.47
624.0	94.48575	22.99	2.25
539.06435	81.84984999999998	19.88	1.96
443.0	67.09295	16.34	1.62
371.0	56.7427	13.7	1.37
319.46430000000004	49.0	11.83	1.19
666.0143	100.76414999999999	24.52	2.4
