v_bits	c_bits	v_measured	c_measured
268.0	142.89989999999997	10.1	3.35
401.5571	212.25010000000003	15.08	4.96
534.1573000000001	282.0143	20.03	6.565
665.0	350.5	24.88	8.14
679.0	358.03575	25.42	8.31
547.1643	289.10725	20.54	6.72
429.32154999999995	227.30715	16.2	5.29
595.0	314.05005	22.31	7.29
678.4357500000001	357.96425	25.43	8.3
645.0	340.68544999999995	24.18	7.9
262.0	138.9571	9.94	3.28
598.0	314.0	22.49	7.31
284.0	105.62839999999998	10.69	2.5
400.99285	147.96425	15.03	3.48
537.9285	197.87845	20.11	4.63
691.0	253.90704999999997	25.71	5.92
818.0	300.65684999999996	30.45	7
714.3216	262.41435	26.61	6.12
676.0	248.17160000000004	25.16	5.79
623.0	229.0	23.21	5.35
423.0	155.96425	15.79	3.66
370.0	136.69275	13.83	3.21
488.35725	179.92135	18.24	4.21
261.7999	80.6856	9.87	1.92
401.0	122.05720000000001	15.07	2.89
545.0	165.5143	20.38	3.89
673.53565	204.0	25.05	4.78
788.6998	238.99285	29.28	5.58
705.0	213.71414999999996	26.17	4.99
620.5786	188.09295	23.05	4.41
583.86415	177.00715	21.69	4.15
486.0	147.87845	18.09	3.47
584.10725	177.30730000000003	21.72	4.15
383.0	116.92134999999999	14.29	2.76
462.89275	140.65695	17.22	3.31
551.9428	167.42139999999998	20.52	3.93
631.0	191.28575	23.44	4.48
740.0	224.17160000000004	27.47	5.23
740.0	224.07865	27.48	5.23
791.0	239.83555	29.37	5.59
540.0	164.00715	20.09	3.84
626.3074	190.0	23.26	4.44
274.55005	42.96424999999999	10.18	1.05
406.0	62.24300000000001	15	1.5
564.0	86.02860000000001	20.78	2.05
676.0	103.00715	24.86	2.44
809.0	123.06435000000002	29.76	2.9
732.0	111.45004999999999	26.92	2.63
613.0	93.57854999999999	22.6	2.21
580.6713	88.48585	21.4	2.1
642.0	97.93564999999998	23.64	2.31
739.9428	112.66409999999999	27.22	2.66
713.05005	108.74269999999999	26.26	2.56
779.0	118.40725000000002	28.66	2.79
479.92134999999996	73.10725000000001	17.71	1.75
