v_bits	c_bits	v_measured	c_measured
273.0	146.9571	10.29	3.42
385.0143	205.56425	14.48	4.77
540.0	287.00715	20.24	6.63
666.0	353.05005	24.91	8.15
664.8140999999999	353.0	24.87	8.13
604.3788	321.5428	22.65	7.41
559.0	297.58554999999996	20.94	6.86
490.0	261.12155	18.38	6.03
261.77835	98.97139999999999	9.87	2.32
400.0	149.13585000000003	15	3.48
484.0	180.0	18.11	4.18
542.0	201.0286	20.23	4.67
669.0	247.89274999999998	24.93	5.74
797.0	295.0	29.67	6.815
717.0	265.32160000000005	26.67	6.135
637.0	236.0	23.73	5.46
496.0	184.69254999999995	18.53	4.28
380.0	142.07150000000001	14.22	3.3
487.0	181.0286	18.20	4.2
302.73555	114.0	11.36	2.65
265.00715	83.06435	9.92	1.95
394.0	121.97855	14.67	2.84
540.0	165.9714	20.035	3.85
667.0	204.2715	24.71	4.74
797.0	243.89989999999997	29.51	5.64
740.99285	226.80694999999997	27.44	5.25
602.9285	185.0	22.36	4.29
757.03575	231.5214	28.03	5.35
638.0	195.30725	23.64	4.52
619.0	189.61409999999998	22.93	4.38
472.81415	145.52855	17.55	3.37
267.0	42.821299999999994	9.91	1.02
406.0286	63.45725	15.03	1.5
546.0	84.857	20.16	1.98
683.0	105.63549999999998	25.145	2.46
808.99285	124.97139999999999	29.76	2.9
723.6284499999999	111.94279999999999	26.64	2.6
660.0	102.00715	24.3	2.38
597.0	92.49290000000002	22.01	2.16
565.0	87.62849999999999	20.83	2.05
498.79265000000004	77.72829999999999	18.41	1.81
435.0	67.94279999999999	16.08	1.60
363.00715	57.0	13.45	1.35
327.0	51.407300000000006	12.12	1.22
448.0	69.8856	16.55	1.64
516.0	80.09295000000002	19.03	1.88
598.0	92.65699999999997	22.03	2.16
715.0143	110.49289999999999	26.32	2.57
768.8069499999999	118.84984999999999	28.27	2.76
645.0	99.87129999999998	23.75	2.33
708.0	109.38575	26.05	2.55
647.99285	100.0	23.84	2.33
608.0858000000001	94.0429	22.41	2.2
