v_bits	c4_bits	v_measured	c4_measured
301.143	0.0	118.7	0.03
299.99285	94.3145	118.2	0.8
296.2574	192.03575	117.0	1.6
294.6855	289.82125	116.1	2.4
292.2356	390.37155	115.2	3.23
290.54285	486.1859	114.6	4.02
288.88575	587.4143	113.6	4.84
284.4501	678.857	112.4	5.61
283.05005	781.4858	111.3	6.43
280.90705	874.6715	110.6	7.19
