v_bits	c4_bits	v_measured	c4_measured
301.6642	0.0	119.0	0.04
300.3859	94.0143	118.2	0.80
297.1786	192.6212	117.8	1.6
299.3788	94.72115	118.4	.8
295.5073	291.5427	116.5	2.41
290.9643	489.79985	114.7	4.03
289.0	589.38595	114	4.85
286.9571	685.2645	113.1	5.62
284.27885	788.0715	111.8	6.43
281.8713	880.4929	110.9	7.19
293.2288	395.0	115.9	3.25
