v_bits	c3_bits	v_measured	c3_measured
298.0	0.0	117.6	.04
297.5714	93.42875	117.2	0.79
292.99285	188.30025	115.8	1.59
291.3715	284.50725	114.9	2.39
291.89275	388.54285	115.0	3.23
289.18585	483.4216	114.1	4.02
285.58565	582.14295	112.7	4.82
284.79985	679.09295	112.1	5.59
281.857	778.2002	111.3	6.41
281.24265	874.30015	110.4	7.17
