v_bits	c4_bits	v_measured	c4_measured
304.35	0.0	119.8	.03
302.8999	95.3788	119.3	.8
300.4074	193.6569	118.4	1.61
297.69265	291.73545	117.1	2.41
295.54285	395.45015	116.3	3.26
293.65705	492.99285	115.3	4.05
291.1001	591.9428	114.4	4.86
289.74975	688.68565	113.9	5.65
287.50715	789.52855	113.1	6.47
285.05005	883.1573	111.9	7.23
