v_bits	c2_bits	v_measured	c2_measured
297.3931	0.0	117.7	0.03
295.90015	93.8427	117.3	0.79
295.4786	93.7426	116.9	0.79
294.50715	192.02145	116.0	1.60
292.41455	289.39305	115.4	2.4
288.2788	389.06435	114.0	3.23
286.22165	484.9571	113.0	4.01
283.9142	583.13585	112.1	4.81
282.05005	677.42865	111.2	5.58
280.9857	778.5071	110.8	6.40
279.02145	871.15005	110.2	7.17
