v_bits	c1_bits	v_measured	c1_measured
304.3573	0.0	119.7	0.03
301.89275	95.5783	118.9	.8
299.64275	194.7712	117.6	1.6
297.10725	293.3217	116.7	2.41
294.59965	396.0572	116.4	3.25
295.3289	397.1144	116.0	3.25
293.1144	494.00715	115.1	4.04
291.33605	597.6569	114.6	4.89
288.2216	693.37155	113.2	5.66
285.89275	789.4643	112.4	6.45
283.4003	881.67125	111.6	7.21
