v_bits	c2_bits	v_measured	c2_measured
303.5713	0.0	119.7	0.03
303.2002	96.27885	119.1	0.8
300.77835	195.6641	118.2	1.61
296.9285	293.8284	117.0	2.41
294.69255	397.1716	116.1	3.25
293.12155	495.59275	115.1	4.04
291.3286	595.70745	114.3	4.85
283.9072	685.56435	113.6	5.63
283.35745	789.143	111.4	6.42
281.2717	882.3071	110.6	7.18
