v_bits	c1_bits	v_measured	c1_measured
302.5568	0.0	119.3	0.03
300.92855	95.05005	118.2	.8
300.1001	193.5784	117.9	1.60
297.42125	291.75735	117.0	2.41
294.5429	392.70695	115.8	3.25
291.69975	488.83555	114.9	4.04
289.2002	587.40735	114.0	4.84
287.8141	683.72845	113.5	5.63
285.77125	785.0857	112.6	6.46
282.9714	878.02855	111.3	7.21
