v_bits	c1_bits	v_measured	c1_measured
307.42145	0.0	120	.03
304.714	95.56395	119.1	.8
302.51435	194.48565	118.2	1.6
301.2501	293.6285	117.5	2.41
298.6427	394.99285	116.7	3.25
295.9428	491.8856	115.4	4.03
291.2002	690.20735	113.5	5.63
289.8999	791.9428	113	6.47
286.3644	883.62135	112.2	7.22
286.8427	885.89275	111.8	7.22
293.76405	595.30735	114.4	4.88
