v_bits	c4_bits	v_measured	c4_measured
301.1573	0.0	117.9	.03
299.1573	95.47155	117.0	.79
298.64975	194.8284	116.5	1.60
294.7784	293.2431	115.1	2.39
292.4501	394.0143	114.2	3.21
290.5855	490.97855	113.3	3.99
288.00715	592.2359	112.5	4.83
286.83555	689.10725	112.1	5.61
283.09295	785.64975	110.5	6.39
280.5641	878.7642	109.7	7.15
