v_bits	c1_bits	v_measured	c1_measured
300.84985	0.0	118.9	0.04
299.99285	95.72115	118.3	0.8
296.51425	194.4643	117.0	1.6
293.69265	292.51435	116.1	2.4
291.6997	393.436	115.1	3.23
290.7998	491.714	114.8	4.02
287.37165	592.8141	113.3	4.83
284.4643	685.7641	112.4	5.61
282.9285	788.70715	111.5	6.42
280.17145	880.85705	110.6	7.18
