v_bits	c3_bits	v_measured	c3_measured
301.93565	0.0	119.0	.03
300.80695	96.3217	118.5	.8
299.7285	195.6142	117.6	1.6
295.48565	293.60685	116.5	2.41
293.87845	395.2645	115.6	3.23
291.47145	492.757	114.8	4.02
290.93565	598.16445	114.2	4.87
286.5427	690.97855	112.9	5.63
284.5998	790.4357	112.0	6.44
282.37875	883.2786	111.1	7.2
